,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
139,Damage to Property,5656 S. Maryland (Parking Structure),5/18/16 6:27 AM,5/17/16 to 5/18/16 3:00 PM to 6:25 AM,UCM owned vehicle parked unattended on 3rd floor of structure had damage to passenger's side rear door / 2016 MVA00083,Closed,16-00415
140,Information,Woodlawn between 52nd &amp; 53rd,5/18/16 1:45 PM,5/16/16 7:00 AM,Report of credit card fraud at Bank of China account,Referred,16-00416
141,Lost Property,1212 E. 59th St. (Ida Noyes),5/18/16 4:23 PM,5/17/16 to 5/18/16 7:00 PM to 4:30 PM,Sign missing from basement level,Closed,16-00417
142,Injured Person,5100 S. Woodlawn,5/18/16 4:47 PM,5/18/16 1:30 PM,UCPD officer injured his ankle while assigned to bicycle patrol,Closed,16-00418
143,Information / Aggravated Battery,Kimbark at 63rd St.,5/17/16 9:45 AM,5/17/16 9:40 AM,"Chicago police and UCPD officers responded to calls of shots fired, found a victim shot in the leg / Motive and suspects unknown / CPD case ",CPD,
144,Information / Vehicle Fire,1000 E. Midway Pl.,5/16/16 6:10 AM,5/16/16 6:10 AM,"UCPD officers observed flames in vehicle, used fire extinguishers until CFD arrived and extinguished the blaze / No injuries reported / CPD case HZ266230",CPD,16-00409
145,Information  / Disturbance,6031 S. Ellis (Granville-Grossman RH),5/16/16 9:05 AM,5/16/16 9:00 AM,Two employees were involved in a loud argument / Peace restored,Closed,16-00410
146,Theft,5835 S. Drexel (Gilman Smith Hospital),5/16/16 2:16 PM,4/20/16 to 4/21/16 7:00 PM to 6:30 AM,"400 mops, 600 micro fiber cloths and other cleaning supplies taken from a locked storage locker in sub-basement storage room",Open,16-00411
147,Information,6117 S. Kimbark (Vacant Lot),5/16/16 7:06 PM,5/16/16 12:00 AM to 6:00 AM,Owner reports person or persons unknown took an aluminum chain link fence from his vacant parcel off-campus / Referred to CPD,Referred,16-00412
148,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1463288400,,,,,,
149,Liquor Law Violation,5700 S. Blackstone (Public Way),5/14/16 3:35 PM,5/14/16 3:35 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00405
150,Aggravated Battery,5521 S. University (Public Way),5/14/16 4:48 PM,5/14/16 4:45 PM,"Individual walked between two subjects while walking northbound / Victim was struck from behind, falling to the sidewalk striking his nose / Transported to ER by CFD EMS for treatment",Open,16-00406
151,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),5/13/16 1:22 AM,5/13/16 1:22 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-00398
152,Found Property,6031 S. Ellis (Granville-Grossman RH),5/13/16 2:43 AM,5/13/16 2:43 AM,Staff turned over various items of unclaimed found property that has accumulated since January 2016 / Property inventoried for safekeeping at UCPD,Closed,16-00399
153,Liquor Law Violation,Greenwood between 52nd &amp; 53rd,5/13/16 2:03 AM,5/13/16 2:03 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,16-00400
154,Found Property,5932 S.  Woodlawn (Public Way),5/13/16 11:04 AM,5/13/16 11:04 AM,Individual found 5 keys on a key ring / Turned property over to UCPD for safekeeping,Closed,16-00401
155,Information,6031 S. Ellis,5/12/16 11:55 AM,5/11/16 10:00 PM to 11:00 PM,Individual expressed concern about a website posting,Closed,16-00394
156,Lost Property,5841 S. Maryland (Lying In Hospital),5/12/16 4:17 PM,5/9/16 to 5/12/16 12:00 PM to 3:00 PM,Patient reports losing wallet while being transferred from one room to another in the hospital,Closed,16-00395
157,Information / Missing Person,5815 S. Maryland (Mitchell Hospital),5/12/16 7:11 PM,5/12/16 12:30 PM to 9:50 PM,"Patient's spouse reported missing after leaving the hospital and not returning / Missing person later found at home, safe and secure",Closed,16-00396
158,Information / Robbery,5130 S. Hyde Park,5/11/16 2:56 AM,5/11/16 2:50 AM,Two unknown suspects forcibly took a cell phone from a victim walking on the sidewalk off-campus / Suspects fled to a waiting vehicle / Victim reported no injuries / CPD case HZ259648,CPD,16-00390
159,Theft,901 E. 58th St. (Mitchell ER),5/11/16 2:40 PM,5/11/16 11:00 AM to 1:00 PM,Cell phone taken after victim fell asleep in bed,Open,16-00391
160,Lost Property,1100 E. 57th St. (Mansueto Library),5/11/16 2:32 PM,5/1/16 4:00 PM to 8:00 PM,Individual reports she lost bag containing ballerina tutu while in the library or possibly Bartlett Commons (5640 S. University),Closed,16-00392
161,Information / Robbery,5500 S. Kimbark,5/11/16 11:19 PM,5/11/16 11:15 PM,Three unknown suspects forcibly took an iPhone from victim walking on the sidewalk off-campus / Victim reported no injuries / CPD case HZ260970,CPD,16-00393
162,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1462856400,,,,,,
163,Lost Property,6031 S. Ellis (Granville-Grossman RH),5/9/16 11:57 AM,5/6/16 to 5/9/16 4:00 PM to 8:00 AM,Individual reports losing three keys attached to a key ring / Keys were lost over a period of days at an unknown location,Closed,16-00385
164,Void,void,void,void,Number generated in error,Void,16-00386
165,Information / Theft from Motor Vehicle,6225 S. Kenwood (Parking Lot),5/9/16 4:36 PM,5/9/16 7:55 AM to 4:30 PM,Four tires taken from car parked in parking lot / CPD case HZ257846,CPD,16-00387
166,Medical Call,6031 S. Ellis (Public Way),5/8/16 2:02 AM,5/8/16 2:02 AM,Adult individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00383
167,Liquor Law Violation,1101 E. 56th St. (Max Palevsky RH),5/7/16 1:38 AM,5/7/16 1:38 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00380
168,Liquor Law Violation,5630 S. Ellis (Max Palevsky RH),5/7/16 2:44 AM,5/7/16 2:44 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00381
169,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1462510800,,,,,,
170,Theft,5730 S. Ellis (Crerar Library / Exterior),5/5/16 1:44 PM,5/5/16 1:30 PM to 1:40 PM,"Unattended bag, containing a computer, taken from area near entrance to the library",Open,16-00374
171,Assault,5640 S. University (Bartlett),5/5/16 5:51 PM,5/5/16 5:50 PM,"During the course of a disagreement between two contract employees, one individual  was threatened with bodily harm by another / Victim refused to prosecute / ",Ex. Cleared,16-00375
172,Medical Call,5118 S. Dorchester (Neighborhood Apts.),5/5/16 7:04 PM,5/5/16 7:04 PM,"As a result of a well-being check, individual was found to be in need of medical attention / Transported to the hospital by CFD EMS for evaluation and treatment",Closed,16-00376
173,Traffic Crash,1364 E. 58th St.,5/5/16 8:32 PM,5/5/16 8:25 PM,UC owned vehicle involved in property damage traffic crash / No injuries reported / 2016-MVA00076,Closed,16-00377
174,Traffic Crash,5555 S. Ellis (Public Way),5/4/16 9:55 AM,5/4/16 9:55 AM,"University owned vehicle involved in traffic crash / Property damage only, no injuries reported / 16-MVA00073",Closed,16-00371
175,Found Property,6054 S. Drexel,5/4/16 12:24 PM,5/2/16 to 5/3/16 6:00 PM to 11:00 PM,First Transit Bus Co. supervisor turned over miscellaneous items found on shuttle buses / Inventoried at UCPD for safekeeping,Closed,16-00372
176,Theft,1463 E. 53rd St. (CIE),5/3/16 1:33 PM,4/28/16 to 4/29/16 5:00 PM to 9:00 AM,Computer keyboard taken from receptionist's desk top,Open,16-00368
177,Lost Property,1131 E. 57th St. (Mandel Hall),5/3/16 2:55 PM,4/28/16 7:00 PM to 8:00 PM,Individual reports losing wallet with three keys attached,Closed,16-00369
178,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1462165200,,,,,,
179,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1462078800,,,,,,
180,Information / Burglary / Home Invasion,Kimbark between 55th &amp; 56th,4/30/16 4:19 AM,4/30/16 4:05 AM,"Victim, in bedroom of off-campus private apartment, heard noises in the rear of apartment / Found three unknown suspects who bound victim and took iPhone, two computers, and keys / Not known as to how suspects gained entry to apartment / CPD case HZ245629",CPD,16-00365
181,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1461906000,,,,,,
182,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1461819600,,,,,,
183,Information / Burglary,56th St. between Kimbark &amp; Kenwood,4/27/16 1:19 AM,4/26/16 to 4/27/16 8:45 PM to 1:00 AM,Unknown person(s) forced entry to off-campus private apartment via rear door and took TV / CPD case HZ241675,CPD,16-00360
184,Information / Traffic Crash,5700 S. Stony Island,4/27/16 8:54 AM,4/27/16 8:54 AM,UC Shuttle bus involved in property damage traffic crash / No injuries reported / 2016-MVA0069,Closed,16-00361
185,Warrant Arrest,5300 S. Drexel,4/27/16 1:41 PM,4/27/16 1:41 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officer discovered the motorist was wanted on a warrant for armed robbery in Waukegan, IL.",Arrest,16-00362
186,Battery / Domestic,5700 S. Maryland (CCD),4/26/16 11:39 AM,4/26/16 11:30 AM,Boyfriend and girlfriend involved in a domestic argument / Girlfriend struck boyfriend over the eye causing a scratch / Victim declined prosecution and medical assistance,Ex. Cleared,16-00357
187,Theft,5758 S. Maryland (DCAM Café Central),4/26/16 2:52 PM,4/26/16 11:15 AM to 1:15 PM,Staff member's wallet taken while in café / Wallet later found and turned over to owner minus cash,Open,16-00358
188,Information / Aggravated Assault,6035 S. Harper (Res. Parking Lot),4/25/16 9:45 AM,4/25/16 9:45 AM,CPD and UCPD officers responded to a call of shots fired / Individual reported while sitting in his car in an off-campus residential parking lot an unknown assailant approached and fired several shots breaking his windshield before fleeing on foot / No injuries reported / CPD case,CPD,16-00356
189,Information / Death Investigation,6031 S. Ellis (Granville-Grossman RH),4/25/16 1:49 PM,4/25 16 1:45 PM,Staff members found person deceased in a 9th floor washroom / CPD death investigation HZ239575,CPD ,16-00350
190,Found Property,6054 S. Drexel,4/25/16 11:35 AM,4/1/16 to 4/25/16 9:00 AM to 10:00 AM,Various unclaimed property found on UC Shuttle buses turned over to UCPD for safekeeping by UC Shuttle Lost and Found,Closed,16-00351
191,Information /Traffic Crash / Personal Injury,"5600 S, Blackstone",4/25/16 10:38 AM,4/25/16 10:38 AM,Motorist struck pedestrian in cross walk / Victim transported to ER by CFD EMS / CPD case HZ239005,CPD,16-00352
192,Liquor Law Violation,800 E. 57th St. (Public Way),4/24/16 1:12 AM,4/24/16 1:12 AM,"Underage individual, found sleeping on the sidewalk after consuming alcoholic beverages, transported to ER for evaluation and treatment",Referred,16-00348
193,Information / Assist Other Agency,5401 S. Ellis,4/23/16 1:08 AM,4/23/16 1:08 AM,UCPD officers assisted CPD responding to a loud party/noise disturbance at off-campus building / CPD issued a citation to lease holder for noise violation,CPD,16-00343
194,Information / Sex Offense,Kenwood near 58th St.,4/23/16 4:23 AM,4/23/16 4:05 AM,"An acquaintance talking to victim in vestibule of off-campus apartment building, displayed a handgun, pushed the victim to the floor and fondled her / The victim screamed and the suspect fled from the building / The victim suffered minor injury to her knee and elbow but declined medical assistance / Chicago police case HZ236776",CPD,16-00344
195,Information / Traffic Crash,5241 S. Harper,4/23/16 9:35 AM,4/23/16 9:35 AM,Rental truck struck UC owned vehicle parked on the street causing minor damage to the side view mirror / No injuries reported,Closed,16-00345
196,Injured Person,1116 E. 59th St. (Harper Library),4/23/16 2:55 PM,4/23/16 2:45 PM,"Individual lost footing while walking on a stairway, twisting an ankle / Declined medical attention from CFD EMS",Closed,16-00346
197,Criminal Damage to Property,1116 E. 59th St. (Harper Library),4/22/16 9:07 AM,4/21/16 to 4/22/16 4:00 PM to 8:30 AM,Unknown person carved graffiti on door of stall in 2nd floor washroom,Open,16-00340
198,Information / Robbery,1449 E. 57th St. (Restaurant),4/22/16 3:25 PM,4/22/16 3:25 PM,Two suspects forcibly took a cell phone from a victim off-campus / Suspects arrested by UCPD and CPD officers / Property recovered / CPD case,CPD / Arrest,16-00341
199,Non-Criminal / Fire,1155 E. 57th St. (Quadrangle Club),4/21/16 2:11 AM,4/21/16 2:11 AM,A circuit breaker panel overheated in the basement electrical room / Damage only to the panel / No injuries reported / CFD responded,Closed,16-00332
200,Non-Criminal / Damage to Property,1100 E. 57th St. (Regenstein Library),4/21/16 8:25 AM,4/20/16 to 4/21/16 5:00 PM to 8:15 AM,Panel of a Canon printer was damaged / Cause unknown at this time,Closed,16-00333
201,Robbery,5445 S. Drexel (Public Way),4/21/16 10:42 AM,4/21/16 10:40 AM,"Suspect forcibly took purse from a victim walking on the sidewalk / UCPD officer informed of incident by a witness, located and arrested the suspect / Victim's property recovered from suspect / Victim reported no injuries",Arrest,16-00334
202,Found Property,6054 S. Drexel,4/21/16 10:40 AM,4/21/16 12:30 AM,UC Shuttle Bus driver found credit cards and cell phone on bus / Property turned over to UCPD for safekeeping,Closed,16-00335
203,Theft,5835 S. Greenwood (Stuart Hall),4/20/16 10:46 AM,4/19/16 to 4/20/16 7:00 PM to 10:00 AM,Unsecured and unattended laptop computer taken from room 105,Open,16-00329
204,Lost Property,5758 S. Maryland (DCAM),4/20/16 1:46 PM,4/20/16 12:15 PM to 12:45 PM,Individual left purse hanging in washroom stall / Upon returning found purse missing / Purse later found and returned to owner with all property intact,Closed,16-00330
205,Burglary,5610 S. Ellis (High Energy Physics),4/20/16 4:06 PM,4/20/16 10:30 AM to 1:30 PM,"Unattended, unsecured laptop computer taken from desk top in unsecured office / Suspect identified and admitted to crime, complainant declined prosecution due to multiple existing charges",Ex. Cleared,16-00331
206,Information / Shots Fired,49th &amp; Blackstone,4/20/16 6:35 PM,4/20/16 6:35 PM,"CPD officers responded to calls of shots fired off-campus / No persons were reported injured by the gunfire / A fleeing van struck a pedestrian, but did not stop /  CPD detained suspects in vehicle at 63rd St. &amp; Stony Island / CPD cases HZ233824 and HZ233828",CPD,
207,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1461042000,,,,,,
208,Criminal Damage to Property,830 E. 59th St. (Public Way),4/18/16 12:25 PM,4/28/16 12:23 PM,Individual was seen breaking two windshield wiper blades and the passenger's side view mirror of an unoccupied vehicle parked at the curb / Subject detained by UCPD officers / Victim declined to prosecute suspect (Ex-girlfriend),Ex Cleared,16-00323
209,Lost Property,5100 S. Dorchester (Shuttle Bus),4/18/16 12:28 PM,4/16/16 10:50 PM to 11:00 PM,Individual believes he lost wallet on UC Shuttle Bus,Closed,16-00324
210,Information / Theft,5550 S. Dorchester (Rear Bike Rack),4/18/16 1:28 PM,4/14/16 to 4/18/16 6:00 PM to 11:00 AM,Victim reports both wheels taken from bicycle secured to bike rack off-campus / Referred to CPD,CPD,16-00325
211,Information / Theft,5747 S. University (Fraternity House),4/18/16 2:54 PM,4/13/16 to 4/14/16 11:30 PM to 9:00 AM,"Individual reported cash taken from unattended, unsecured purse left on a chair during a frat party / Referred to CPD",CPD,16-00326
212,Information,6031 S. Ellis (Granville-Grossman RH),4/17/16 1:36 AM,4/17/16 1:36 AM,Ill Individual transported to ER for evaluation and treatment,Closed,16-00322
213,Liquor Law Violation,5050 S. Lake Shore Dr.,4/16/16 1:52 AM,4/16/16 1:50 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00317
